OBJECTID,Statistical area 2 (SA2) 2023 code,Statistical area 2 (SA2) 2023 name,Statistical area 2 (SA2) 2023 name no macrons,"Subject pop: Census usually resident population, Year: 2013, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2018, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2023, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2013-2018, Measure: Percent, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2018-2023, Measure: Percent, Var1: Census usually resident population (Total)",Area square kilometres,Land area square kilometres,Shape__Area,Shape__Length
1,363700,Oceanic Southland Region,Oceanic Southland Region,0,3,0,-998,-100,22404.33971834,0,22404344023.2866,2702861.98588039
2,258200,Oceanic Northland Region,Oceanic Northland Region,0,3,3,-998,0,16288.98383348,0,16288984208.5439,1803001.67781664
3,363400,Oceanic West Coast Region,Oceanic West Coast Region,0,0,6,-998,-998,12985.21613492,0,12985214960.2676,1242233.62456483
4,342900,Oceanic Chatham Islands,Oceanic Chatham Islands,0,0,0,-998,-998,12583.83790299,0,12583836185.8516,856371.410060762
5,357000,Fiordland,Fiordland,126,111,132,-11.9,18.9,12119.15358992,12064.68026863,12119148555.1011,2906707.7858626
6,363800,Oceanic Canterbury Region,Oceanic Canterbury Region,12,0,0,-100,-998,11441.92869308,0,11441925255.6816,1176105.59254406
7,258800,Oceanic Bay of Plenty Region,Oceanic Bay of Plenty Region,0,0,0,-998,-998,9370.25896487,0,9370257373.58105,785667.545271635
8,110600,Oceanic Auckland Region East,Oceanic Auckland Region East,21,9,24,-57.1,166.7,7823.23807683,0,7823234711.33789,1170415.07765612
9,259600,Oceanic Wellington Region,Oceanic Wellington Region,0,0,3,-998,-998,7732.44790657,0,7732446272.67188,814526.88850115
10,259400,Oceanic Hawke's Bay Region,Oceanic Hawke's Bay Region,0,0,0,-998,-998,7252.18936729,0,7252190512.34473,690448.531302922
11,363900,Oceanic Otago Region,Oceanic Otago Region,6,0,0,-100,-998,6538.07728126,0,6538078312.45557,735920.025987422
12,258500,Oceanic Waikato Region East,Oceanic Waikato Region East,0,0,3,-998,-998,5879.54818274,0,5879547107.28223,889022.403466652
13,259200,Oceanic Gisborne Region,Oceanic Gisborne Region,0,0,0,-998,-998,5603.74010192,0,5603741236.57715,608952.487363493
14,259000,Oceanic Taranaki Region,Oceanic Taranaki Region,3,0,0,-100,-998,5440.60371736,0,5440603913.18945,568014.935588914
15,363600,Oceanic Marlborough Region,Oceanic Marlborough Region,0,0,0,-998,-998,5204.23955466,0,5204235216.04492,603051.612035058
16,341501,Mackenzie Lakes,Mackenzie Lakes,837,1119,1131,33.7,1.1,5174.6688462,5139.71326007,5174670126.67139,553153.570317398
17,300200,Oceanic Tasman Region,Oceanic Tasman Region,0,0,0,-998,-998,5002.73322454,0,5002738523.41455,550170.231049469
18,258700,Oceanic Waikato Region West,Oceanic Waikato Region West,0,0,0,-998,-998,4184.34387121,0,4184344594.44629,420709.019634622
19,306600,Upper Wairau,Upper Wairau,1746,1938,2091,11,7.9,4177.49715743,4177.49715743,4177497306.31689,418968.208375334
20,311200,Haast,Haast,240,258,258,7.5,0,4105.52490687,4099.09044205,4105525287.39063,425688.499392393
21,301800,Murchison-Nelson Lakes,Murchison-Nelson Lakes,1182,1290,1491,9.1,15.6,3739.51655133,3706.00639711,3739514709.24219,345691.114554537
22,312100,Hanmer Range,Hanmer Range,249,255,306,2.4,20,3622.67255061,3609.13481947,3622673946.78223,431868.008802274
23,343100,Aviemore,Aviemore,702,765,909,9,18.8,3532.89509625,3483.89678914,3532895570.84229,426332.170989165
24,333600,Craigieburn,Craigieburn,222,159,210,-28.4,32.1,3444.25622198,3407.52486377,3444257404.63232,326128.886796578
25,307000,Awatere,Awatere,1626,1617,1737,-0.6,7.4,3286.30760105,3273.51591995,3286307202.27344,492919.056244753
26,309700,Inangahua,Inangahua,1011,864,906,-14.5,4.9,3195.93572415,3195.93572415,3195938326.40381,350261.560992203
27,345900,Outer Wānaka,Outer Wanaka,378,399,435,5.6,9,3176.07941178,3176.07941178,3176081043.25684,611200.379786563
28,309000,Karamea,Karamea,768,714,909,-7,27.3,3129.17613005,3129.17613005,3129175159.74512,373488.5371527
29,311300,Westland Glaciers-Bruce Bay,Westland Glaciers-Bruce Bay,876,1074,816,22.6,-24,3071.06630531,3057.442365,3071066181.77051,312865.539597966
30,336600,Ashburton Lakes,Ashburton Lakes,102,96,99,-5.9,3.1,3002.10308208,2995.13689819,3002103293.55664,292133.992866382
31,344800,Lindis-Nevis Valleys,Lindis-Nevis Valleys,1677,2391,3228,42.6,35,2904.75444316,2884.60616935,2904753874.75,406862.513667972
32,357700,Mossburn,Mossburn,1197,1209,1233,1,2,2740.571082,2740.571082,2740567345.02637,297577.913862295
33,357300,Mararoa,Mararoa,714,774,864,8.4,11.6,2727.73210216,2717.38750155,2727731879.63672,373099.315193448
34,222900,Tangiwai,Tangiwai,1227,1281,1449,4.4,13.1,2696.66379573,2696.66379573,2696664683.66895,424673.762446551
